modeldb_id,model_name,paper_id,authors,title,journal,year,doi,pubmedid,citation_count,modeldb_model_count,all_paper_ids
148644,Neuronal morphology goes digital ... (Parekh & Ascoli 2013),148643,"Parekh R, Ascoli GA",Neuronal morphology goes digital: a research hub for cellular and system neuroscience.,Neuron,2013,10.1016/j.neuron.2013.03.008,,201,1,148643
135839,"AP back-prop. explains threshold variability and rapid rise (McCormick et al. 2007, Yu et al. 2008)",96460,"McCormick DA, Shu Y, Yu Y",Neurophysiology: Hodgkin and Huxley model--still standing?,Nature,2007,10.1038/nature05523,,194,1,96460|123909
147757,Amyloid-beta effects on release probability and integration at CA3-CA1 synapses (Romani et al. 2013),147865,"Romani A, Marchetti C, Bianchi D, Leinekugel X, Poirazi P, Migliore M, Marie H",Computational modeling of the effects of amyloid-beta on release probability at hippocampal synapses.,Frontiers in computational neuroscience,2013,10.3389/fncom.2013.00001,,194,1,147865
112834,Afferent Integration in the NAcb MSP Cell (Wolf et al. 2005),86558,"Wolf JA, Moyer JT, Lazarewicz MT, Contreras D, Benoit-Marand M, O'Donnell P, Finkel LH",NMDA/AMPA ratio impacts state transitions and entrainment to oscillations in a computational model of the nucleus accumbens medium spiny projection neuron.,The Journal of neuroscience : the official journal of the Society for Neuroscience,2005,10.1523/JNEUROSCI.2220-05.2005,,191,1,86558
135898,Selective control of cortical axonal spikes by a slowly inactivating K+ current (Shu et al. 2007),114136,"Shu Y, Yu Y, Yang J, McCormick DA",Selective control of cortical axonal spikes by a slowly inactivating K+ current.,Proceedings of the National Academy of Sciences of the United States of America,2007,10.1073/pnas.0702041104,,187,1,114136
50210,Olfactory bulb granule cell: effects of odor deprivation (Saghatelyan et al 2005),51191,"Saghatelyan A, Roux P, Migliore M, Rochefort C, Desmaisons D, Charneau P, Shepherd GM, Lledo PM",Activity-dependent adjustments of the inhibitory network in the olfactory bulb following early postnatal deprivation.,Neuron,2005,10.1016/j.neuron.2005.02.016,,186,1,51191
3533,"Thalamic Relay Neuron: I-T current (Williams, Stuart 2000)",4411,"Williams SR, Stuart GJ",Action potential backpropagation and somato-dendritic distribution of ion channels in thalamocortical neurons.,The Journal of neuroscience : the official journal of the Society for Neuroscience,2000,10.1523/JNEUROSCI.20-04-01307.2000,,181,1,4411
136715,Action potential-evoked Na+ influx are similar in axon and soma (Fleidervish et al. 2010),127651,"Fleidervish IA, Lasser-Ross N, Gutnick MJ, Ross WN",Na+ imaging reveals little difference in action potential-evoked Na+ influx between axon and soma.,Nature neuroscience,2010,10.1038/nn.2574,,176,2,127651
139657,Superior paraolivary nucleus neuron (Kopp-Scheinpflug et al. 2011),139660,"Kopp-Scheinpflug C, Tozer AJ, Robinson SW, Tempel BL, Hennig MH, Forsythe ID",The sound of silence: ionic mechanisms encoding sound termination.,Neuron,2011,10.1016/j.neuron.2011.06.028,,175,1,139660
53965,T channel currents (Vitko et al 2005),53548,"Vitko I, Chen Y, Arias JM, Shen Y, Wu XR, Perez-Reyes E","Functional characterization and neuronal modeling of the effects of childhood absence epilepsy variants of CACNA1H, a T-type calcium channel.",The Journal of neuroscience : the official journal of the Society for Neuroscience,2005,10.1523/JNEUROSCI.0847-05.2005,,174,1,53548
148094,CA1 pyramidal neuron: effects of R213Q and R312W Kv7.2 mutations (Miceli et al. 2013),148095,"Miceli F, Soldovieri MV, Ambrosino P, Barrese V, Migliore M, Cilio MR, Taglialatela M",Genotype-phenotype correlations in neonatal epilepsies caused by mutations in the voltage sensor of K(v)7.2 potassium channel subunits.,Proceedings of the National Academy of Sciences of the United States of America,2013,10.1073/pnas.1216867110,,174,1,148095
54903,AP initiation and propagation in  type II cochlear ganglion cell (Hossain et al 2005),54907,"Hossain WA, Antic SD, Yang Y, Rasband MN, Morest DK",Where is the spike generator of the cochlear nerve? Voltage-gated sodium channels in the mouse cochlea.,The Journal of neuroscience : the official journal of the Society for Neuroscience,2005,10.1523/JNEUROSCI.0123-05.2005,,172,1,54907
127351,A two-stage model of dendritic integration in CA1 pyramidal neurons (Katz et al. 2009),124176,"Katz Y, Menon V, Nicholson DA, Geinisman Y, Kath WL, Spruston N",Synapse distribution suggests a two-stage model of dendritic integration in CA1 pyramidal neurons.,Neuron,2009,10.1016/j.neuron.2009.06.023,,171,1,124176
3263,CA3 Pyramidal Neuron (Migliore et al 1995),4307,"Migliore M, Cook EP, Jaffe DB, Turner DA, Johnston D",Computer simulations of morphologically reconstructed CA3 hippocampal neurons.,Journal of neurophysiology,1995,10.1152/jn.1995.73.3.1157,,170,1,4307
170030,Early-onset epileptic encephalopathy (Miceli et al. 2015),184729,"Miceli F, Soldovieri MV, Ambrosino P, De Maria M, Migliore M, Migliore R, Taglialatela M",Early-onset epileptic encephalopathy caused by gain-of-function mutations in the voltage sensor of Kv7.2 and Kv7.3 potassium channel subunits.,The Journal of neuroscience : the official journal of the Society for Neuroscience,2015,10.1523/JNEUROSCI.4423-14.2015,,166,1,184729
20756,Mechanisms of fast rhythmic bursting in a layer 2/3 cortical neuron (Traub et al 2003),20862,"Traub RD, Buhl EH, Gloveli T, Whittington MA",Fast rhythmic bursting can be induced in layer 2/3 cortical neurons by enhancing persistent Na+ conductance or by blocking BK channels.,Journal of neurophysiology,2003,10.1152/jn.00573.2002,,163,1,20862
3673,"Salamander retinal ganglion cell: ion channels (Fohlmeister, Miller 1997)",4665,"Fohlmeister JF, Miller RF",Impulse encoding mechanisms of ganglion cells in the tiger salamander retina.,Journal of neurophysiology,1997,10.1152/jn.1997.78.4.1935,,162,1,4665
